id;Otázka;Obmena 1;Obmena 2;Obmena 3;Obmena 4;Odpoveď 1
170;Treba si jedlo dopredu objednávať v bufete na FRI? ;Je nutné si jedlo objednať vopred vo FRI bufete?;Je potrebné si vo FRI bufete objednať jedlo vopred?;Objednáva sa jedlo vopred vo FRI Bufete?;Je vo FRI Bufete nutné si jedlo objednávať?;Áno
171;Ako sa dá stravovať na FRI?;Aké sú možnosti stravovania na FRI?;Ako je možné sa na FRI stravovať?;Ako funguje stravovanie na FRI?;Ako funguje a aké sú možnosti stravovania na FRI?;Sú tu dve strediská, výdajňa a bufet.
172;Do ktorej je otvorený bufet?;Do kedy je otvorený FRI Bufet?;V akých hodinách funguje FRI Bufet?;Kedy je otvorený FRI Bufet?;Kedy sa otvára FRI Bufet?;Bufet FRI otvorený pondelok – piatok v čase od 7:00 hod. do 14:00 hod..
173;Koľko stojí jedlo?;Aké sú ceny za jedlo na FRI?;Koľko stojí obed na FRI?;Za akú cenu sú poskytované obedy?;Aké drahé sú obedy?;Ceny všetkých dostupných jedál nájdete na stránke stravovania po prihlásení. Link: https://strava.uniza.sk/WebKredit/Ordering/Menu
174;Aké formy štipendia je možné získať?;Aké štipendium môžem získať?;Aké sú rôzne druhy štipendia?;Ktoré štipendiá je možné získať?;Aké štipendiá sú na fakulte dostupné?;Motivačné(odborové, prospechové, mimoriadne),  sociálne, tehotenské
175;Aká je maximálna možná suma tehotenského štipendia?;Koľko je maximálna suma tehotenského štipendia?;Aká je horná hranica tehotenského štipendia?;Aká suma je hornou hranicou tehotenského štipendia?;Aká je najvyššia suma tehotenského štipendia?;"Výška tehotenského štipendia je 200 eur mesačne. Vláda môže ustanoviť nariadením inú výšku tehotenského štipendia. "
176;Ako môžem získať tehotenské štipendium?;Ako je možné získať tehotenské štipendium?;V ako prípade môžem získať tehotenské štipendium?;Čo musím robiť aby som získal tehotenské štipendium?;Aké sú kroky ku získaniu tehotenské štipendia?;https://www.uniza.sk/images/pdf/stipendia/tehotenske/30032021_Postup-pri-podani-ziadosti-o-tehotenske-stipendium.pdf
177;Aké sú podmienky získania štipendia?;Aké podmienky musím spĺňat pre získanie štipendia?;Ktoré podmienky sú nutné pre získanie štipendia?;Aké sú nutné podmienky pre získanie štipendia?;Akými podmienkami sú podmienené štipendiá?;
178;Aké sú inžinierské študíjne programy?;Aké inžinierské študijné programy sú na FRI?;Aké inžinierské odbory sú na FRI?;Ktoré inžinierské študíjne programy existujú na FRI?;Ktoré inžinierské odbory existujú na FRI?;"Informačné systémy, Inteligentné informačné systémy, Biomedicínska informatika, Aplikované sieťové inžinierstvo, Informačný manažment, Počítačové inžinierstvo Viac info tu:  https://www.fri.uniza.sk/stranka/ponukane-inzinierske-studijne-programy"
179;Aké sú bakalárske študíjne programy?;Aké bakalárske študijné programy sú na FRI?;Aké bakalárske odbory sú na FRI?;Ktoré bakalárske študíjne programy existujú na FRI?;Ktoré bakalárske odbory existujú na FRI?;"Informatika, Informatika a riadenie, Informačné a sieťové technológie, Manažment, Počítačové inžinierstvo Viac info tu: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy"
180;Aké sú doktorantské študíjne programy?;Aké doktorantské študijné programy sú na FRI?;Aké doktorantské odbory sú na FRI?;Ktoré doktorantské študíjne programy existujú na FRI?;Ktoré doktorantské odbory existujú na FRI?;Aplikovaná informatika, Manažment, Inteligentné informačné systémy
181;O čom je program Informatika?;Čo sa vyučuje v programe Informatika?;Čo sa vyučuje v odbore Informatika?;Aký je popis študíjneho programu Informatika?;Aký je popis odboru Informatika?;Link: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy
182;O čom je program Manažment?;Čo sa vyučuje v programe Manažment?;Čo sa vyučuje v odbore Manažment?;Aký je popis študíjneho programu Manažment?;Aký je popis odboru Manažment?;Link: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy
183;O čom je program Počítačové Inžinierstvo?;Čo sa vyučuje v programe Počítačové Inžinierstvo?;Čo sa vyučuje v odbore Počítačové Inžinierstvo?;Aký je popis študíjneho programu Počítačové Inžinierstvo?;Aký je popis odboru Počítačové Inžinierstvo?;Link: https://www.fri.uniza.sk/stranka/ponukane-bakalarske-studijne-programy
184;O čom je program Biomedicínske inžinierstvo?;Čo sa vyučuje v programe Biomedicínske inžinierstvo?;Čo sa vyučuje v odbore Biomedicínske inžinierstvo?;Aký je popis študíjneho programu Biomedicínske inžinierstvo?;Aký je popis odboru Biomedicínske inžinierstvo?;https://youtu.be/DuV7m2yiCdU
185;O čom je program Inteligentné informačné systémy?;Čo sa vyučuje v programe Inteligentné informačné systémy?;Čo sa vyučuje v odbore Inteligentné informačné systémy?;Aký je popis študíjneho programu Inteligentné informačné systémy?;Aký je popis odboru Inteligentné informačné systémy?;https://youtu.be/zim6Sf3Rqjc
187;O čom je program Informačný manažment?;Čo sa vyučuje v programe Informačný manažment?;Čo sa vyučuje v odbore Informačný manažment?;Aký je popis študíjneho programu Informačný manažment?;Aký je popis odboru Informačný manažment?;https://youtu.be/XbBZVT16bG0
188;O čom je program Aplikované sieťové inžinierstvo.;Čo sa vyučuje v programe Aplikované sieťové inžinierstvo?;Čo sa vyučuje v odbore Aplikované sieťové inžinierstvo?;Aký je popis študíjneho programu Aplikované sieťové inžinierstvo?;Aký je popis odboru Aplikované sieťové inžinierstvo?;https://youtu.be/_NctdDb3vK4
189;Kde nájdem nejaké presnejšie informácie k študijným programom na FRI?;Kde je možné nájsť detailný popis študijných programov FRI?;Kde je možné nájsť detailný popis odborov na FRI?;Ako nájdem presnejší popis študijných programov na FRI?;Ako najdem presnejší popis odborov na FRI?;https://www.fri.uniza.sk/ -> Uchádzači -> Ponúkané študijné programy
192;Aký je email na študíjny referát?;Ktorý mail slúži na kontakt študíjneho referátu?;Aký je mail na študíjne oddelenie?;Akým mailom môžem kontaktovať študíjny referát?;Akým mailom môžem kontaktovať študíjne oddelenie?; studref@fri.uniza.sk, renata.novakova@fri.uniza.sk alebo maria.sicova@fri.uniza.sk
193;Ake je telefonné číslo na študíjny referát?;Ktoré telefónne číslo slúži na kontakt študíjneho referátu?;Aké je telefónne číslo na študíjne oddelenie?;Na ktorom telefonnom čísle môžem kontaktovač študíjny referát?;Ktorým telefónnym číslom môžem kontaktovač študíjne oddelenie?;Mgr. Renátu Novákovú kontaktujte na čísle: 041/5134062 a Mgr. Máriu Sičovú na čísle: 041/5134061
194;Kde je možné získať potvrtednie o štúdiu na vysokej škole?;Kde získam potvrdenie o návšteve školy?;Ako je možné získať potvrdenie o návšteve školy?;Kam mám ísť aby som získal potvrdenie o návšteve školy?;Kde získam potvrdenie o návšteve školy?;Na štúdijné oddelenie.
195;Aké je hodnotenie študentov?;Ako funguje hodnotenie študentov?;Ako sa hodnotia študenti?;Aké sú hodnotenia študentov?;Čo je to hodnotenie študentov?;Hodnotenie známkou sa uskutočňuje podľa klasifikačnej stupnice: A (93-100), B(85-92), C(77-84), D(69-76), E(61-68), FX(<61)
196;Ako je možné prerušiť štúdium?;Ak potrebujem dočasne prerušiť štúdium ako mám postupovať?;Čo mám robiť ak chcem došasne prerušiť štúdium?;Ako dočasne prerušiť štúdium?;Je možné dočasne prerušiť štúdium?;Písomné požiadanie dekana. Najdlhšie možné prerušenie je 1 kademický rok.
197;Ako je možné ukončiť štúdium?;Ak potrebujem ukončiť štúdium, ako mám postupovať?;Čo mám robiť ak chcem prerušiť štúdium?;Ako prerušiť štúdium?;Je možné prerušiť štúdium?;Písomné požiadanie dekana.
198;Je možné zmeniť typ štúdia z prezenčného na externé a zároveň pokračovať v štúdiu?;Môžem zmeniť typ štúdia z prezenčného na externé v tom istom odbore?;Je možné pokračovať v prezenčnom štúdiu externe?;Ako je možné pokračovať externe v prezenčnom štúdiu?;Dá sa zmeniť typ štúdia z prezenčného na externé?;Napísať dekanovy alebo prodekanovy.
199;Je možné zmeniť štúdijnú skupinu?;Môžem zmeniť moju študíjnu skupinu?;Je možné zameniť moju študíjnu skupinu?;Ako je možné zmeniť študíjnu skupinu?;Dá sa zmeniť študíjna skupina?;Pokiaľ nie je naplnená kapacita skupiny alebo sa s vami niekto vymení je to možné.
200;Dá sa zmeniť fakulta počas semestra?;Môžem počas semestra prejsť na inú fakultu?;Je možné prejsť na inú fakultu počas semestra?;Je možné zmeniť fakultu počas semestra?;Dá sa prejsť na inú fakultu po začiatku semestra?;Nie.
201;Ako postupovať pri zanechaní štúdia?;Ako mám zanechať štúdium?;Aké kroky musím vykonať pri zanechaní štúdia?;Ako zanechať štúdium?;Akým spôsobom sa zanecháva štúdium?;Napísať na študíjne a postupovať podľa pokynov.
202;Kde zistím svoje študijné vysledky?;Kde nájdem moje študíjne výsledky?;Ako je možne nájsť moje študíjne výsledky?;Kde vidím moje študíjne výsledky?;Kde sa zobrazujú moje študíjne výsledky?;Na web stránke https://vzdelavanie.uniza.sk/vzdelavanie/.
203;Aká je dĺžka štúdia na bakalárskom štúdiu?;Ako dlho trvá bakalárske štúdium?;Aké je trvanie bakalárskeho štúdia?;Ako dlho sa študuje na bakalársky titul?;Aká doba je potrebná na získanie bakalárskeho štúdia?;Štandárdne 6 semestrov.
204;Aká je dĺžka štúdia na inžinierskom štúdiu?;Ako dlho trvá štúdium Ing?;Koľko rokov trvá inžinierske štúdium?;Koľko trvá druhý stupeň?;Koľko trvá 2. stupeň?;Štandárdne 4 semestre.
205;Aká je dĺžka štúdia na doktorandskom štúdiu?;Ako dlho trvá štúdium doktorantúry?;Koľko rokov trvá štúdium doktorantúry?;Koľko trvá tretí stupeň?;Koľko trvá 3. stupeň?;Štandárdne 4 semestre.
206;Je možné študovať externe?;Dá sa študovať externe?;Je možnosť externého štúdia?;Dá sa študovať externe?;Mohol by som externe študovať?;Áno.
207;Do kedy môžem podať prihlášku?;Kedy je posledný termín pre poslanie prihlášky?;Kedy najneskôr možem poslať prihlášku?;Do kedy sa posiela prihláška?;Dátum posledného termínu poslania prihlášky?;Dátum je možný nájsť na stránke https://www.fri.uniza.sk/calendar?year=2022&section=E. Väčšinou dokonca marca
208;Prečo študovať na FRI?;Aké benefity mi prinesie štúdium na FRI?;Prečo právae štúdium na FRI?;Prečo si vybrať práve FRI?;Prečo si mám vybrať práve túto fakultu?;Aby si získal titul a niečo sa naučil.
209;Ako môžem prestupiť na FRI?;Postup pri prestupe na FRI?;Čo mám urobiť ak chcem prestúpiť na FRI?;Ako prestúpiť na fakultu?;Ako sem môžem prestúpiť z inej univerzity?;Presný postup je možné nájsť na stránke https://www.fri.uniza.sk/stranka/ako-prestupit-na-fri-uniza.
210;Aký študijný odbor môžem študovať externe?;Ktoré odbory sa dajú študovať externe?;Ktoré z dostupných odborov môžem navštevovať externe?;Ktoré štúdijné odbory sa dajú študovať externe?;Aké štúdijné odboru je možné študovať externe?;Bakalársky len Manažment a  Inžiniersky Informačný Manažment.
211;Koľko ľudí bude prijatých?;Koľko ľudí prijímate?;Aký je predpokladaný počet prijatých absolventov?;Aké počet študentov sa príjme?;Koľko ľudí bude prijatých?;Extérny Manažment 20 a Informačný Manažment 20.
212;Ako podať prihlášku?;Akým spôsobom viem podať prihlášku?;Ako viem podať prihlášku?;Ako sa podáva prihláška?;Ako dám prihlášku?;Vytvoríš si elektronickú prihlášku. Stránka https://vzdelavanie.uniza.sk/prijimacky/.
213;Ahoj.;Hello.;Hi.;やあ。;Servus;Čus.
214;Ako sa máš?;Ako to ide?;Ako sa ti darí?;;;Dobre. Dúfam, že nevypadne prúd.
215;Ako sa voláš?;Aké je tvoje meno?;Ako ťa nazývajú?;Meno?;Tvoje meno?;Môžem ma volať ako len chceš zlatko.
216;Kto ťa naprogramoval?;Ako sa volá tvoj tvorca?;Kto je tvojim programátorom?;Kto ťa naprogramoval?;Kto ťa vytvoril?;Šikovný žiaci z FRI.
217;V akom programovacom jazyku si naprogramovaný?;Aký je tvoj programovací jazyk?;V čom si naprogramovaný?;;;Python.
218;Na čo slúžiš?;Na čo si tu?;Aké je tvoje využitie?;;;Na odpovedanie otázok ako je táto :).
219;Kto je tvoj autor?;Kto ťa vytvoril?;Kto ťa vymyslel?;Kto sú autori?;;Mám viacerých autorov. Dvaja Jurajovia, Adrej, Jozef a Linda.
220;Aké telefónne číslo má ...;Telefón na ...;Viete mi poskytnúť telefónne číslo na ...;;;Pravdepodobne budú už neaktúalne :).
221;Kedy je zápis do prvého ročníka?;Kedy sa mám prísť zapísať do prvého ročníka?;Aký je dátum zápisu do prvého ročníka?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
222;Kedy je zápis do prvého ročníka bakalárskeho štúdia?;Kedy sa mám prísť zapísať do prvého ročníka bakalárskeho štúdia?;Aký je dátum zápisu do prvého ročníka bakalárskeho študia?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
223;Kedy je zápis do druhého ročníka bakalárskeho štúdia?;Kedy sa mám prísť zapísať do druhého ročníka bakalárskeho štúdia?;Aký je dátum zápisu do druhého ročníka bakalárskeho študia?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
224;Kedy je zápis do tretieho ročníka bakalárskeho štúdia?;Kedy sa mám prísť zapísať do tretieho ročníka bakalárskeho štúdia?;Aký je dátum zápisu do tretieho ročníka bakalárskeho študia?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
225;Kedy je zápis do prvého ročníka inžinierského štúdia?;Kedy sa mám prísť zapísať do prvého ročníka Ing štúdia?;Aký je dátum zápisu do prvého ročníka inžinierskeho štúdia?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
226;Kedy je zápis do druhého ročníka inžinierského štúdia?;Kedy sa mám prísť zapísať do druhého ročníka Ing štúdia?;Aký je dátum zípisu do druhého ročníka inžinierskeho štúdia?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
227;Kedy bude prebiehať zapisovanie predmetov?;Kedy si budem vedieť dopísať predmety?;V ktorých dátumoch bude možné dopísať si predmety?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
228;Nestihol som sa zapísať do ročníka x, je možnosť spraviť to dodatočne?;Viem si dopísať predmety do x ročníka aj neskôr?;V prípade, že som nestihol si dopísať predmety, viem to urobiť aj dodatočne?;;;Napíš na študíjne, prodekanovy alebo dekanovy.
229;Kedy sa odovzdávajú bakalárske práce?;Termín odovzdania bakalárskej práce?;Dokedy musím odovzdať bakalársku prácu?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
230;Kedy sa odovzdávajú diplomové práce?;Termín odovzdania Ing práce?;Dokedy musím odovzdať inžinersku prácu?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
231;Kedy sa obhajujú bakalárske práce?;Kedy sú termíny pre obhajobu bakalárskych práce?;Aké sú termíny pre obhájenie bakalárskych prác?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
232;Kedy sa obhajujú diplomové práce?;Kedy sú termíny pre obhajobu diplomových prác?;Aké sú termíny pre obhájenie diplomových prác?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
233;Kedy sa obhajujú dizertačné práce?;Kedy sú termíny pre obhajobu dizertačných prác?;Aké sú termíny pre obhájenie dizertačných prác?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
234;Kde je možné dať tlačiť bakalársku prácu?;Kde môžem vytlačiť svoju bakalársku prácu?;Je niekde vrámci univerzity možné vytlačiť bakalársku prácu?;;;Pri školeskej jedálni je EDIS.
235;Kde je možné dať tlačiť diplomovú prácu?;Kde môžem vytlačiť svoju diplomovú prácu?;Je niekde vrámci univerzity možné vytlačiť diplomovú prácu?;;;Pri školeskej jedálni je EDIS.
236;Kde je možné dať tlačiť dizertačnú prácu?;Kde môžem vytlačiť svoju dizertačnú prácu?;Je niekde vrámci univerzity možné vytlačiť dizertačnú prácu?;;;Pri školeskej jedálni je EDIS.
237;Je nutné zverejňovať zdrojové kódy pri bakalárskej práci?;Musím zverejňovať zdrojové kódy bakalárskej práce?;Sú potrebné zverejnené zdrojové kódy k bakalárskej práci?;;;Poďĺa vyžiadania od vedúceho.
238;Je nutné zverejňovať zdrojové kódy pri diplomovej práci?;Musím zverejňovať zdrojové kódy diplonovej práce?;Sú potrebné zverejnené zdrojové kódy k inžinierskej práci?;;;Poďĺa vyžiadania od vedúceho.
239;Je nutné zverejňovať zdrojové kódy pri dizertačnej práci?;Musím zverejňovať zdrojové kódy dizertačnej práce?;Sú potrebné zverejnené zdrojové kódy k dizertačnej práci?;;;Poďĺa vyžiadania od vedúceho.
240;Kde nájdem systém pre prihlasovanie diplomových a balakárskych prác? ;Viete mi poskytnúť link, kde by som sa mohol prihlásiť na diplomovú alebo bakalársku prácu?;Existuje elektronický systém pre prihlasovanie diplonových, prípadne bakalárskych prác?;;;https://isdiplomky.fri.uniza.sk/is_diplomky/
241;Kde a ako sa nahlasujú záverečné práce? ;Kde si viem prihlásiť záverečnú prácu?;Ako si viem zahlásiť záverečnú prácu?;;;https://isdiplomky.fri.uniza.sk/is_diplomky/
242;Ako môžem požiadať o predĺženie termínu odovzdania záverečnej práce?;Akým postupom viem zažiadať o predĺženie termínu odovzdania záverečnej práce?;Chcem požiadať o predĺženie termínu odovzdania záverečnej práce. Ako to môžem urobiť?;;;Napíšeš prodekanovy alebo dekanovy a vyplníš žiadosť o predĺženie.
243;Kde môžem odovzdať diplomovú/bakalársku prácu na kontrolu orignality?;Kde viem odovzdať záverečnú prácu na kontrolu originality?;Ako urobiť na záverečnej práci kontrolu originality?;;;Pri záverečných prácach by mala byť stránka alebo napíšte na študíjne.
244;Počas vypracovánia bakalárskej práce som zistil že túto prácu už nechcem je možné ju zmeniť?;Nechcem ďalej pracovať na bakalárskej práci, ktorú som si zvolil. Viem ju zmeniť?;Ak chcem zmeniť tému bakalárskej práce, ako to urobiť?;;;Zmena už nie je tento rok možná.
245;Počas vypracovánia bakalárskej práce som zistil že nechcem prácu vypracovávať pod daným školiteľom, je možná zmena školiteľa?;Chcem zmeniť školiteľa mojej bakalárskej práce, je to možné?;Ak chcem zmeniť školiteľa bakalárskej práce, čo mám urobiť?;;;Zmena už nie je tento rok možná.
246;Nestihol som si vybrať bakalársku prácu do daného termínu, je možné to spraviť dodatočne?;Keď som si nestihol zaregistrovať bakalársku prácu, je možné to spraviť aj dodatočne?;Ak som si nestihol zahlásiť bakalársku prácu, viem to urobiť dodatočne?;;;Treba napísať dekanovy alebo prodekanovy.
247;Počas vypracovánia diplomovej práce som zistil že túto prácu už nechcem je možné ju zmeniť?;Nechcem ďalej pracovať na diplomovej práci, ktorú som si zvolil. Viem ju zmeniť?;Ak chcem zmeniť tému inžinierskej práce, ako to urobiť?;;;Zmena už nie je tento rok možná.
248;Počas vypracovánia diplomovej práce som zistil že nechcem prácu vypracovávať pod daným školiteľom, je možná zmena školiteľa?;Chcem zmeniť školiteľa mojej diplomovej práce, je to možné?;Ak chcem zmeniť školiteľa inžinierskej práce, čo mám urobiť?;;;Zmena už nie je tento rok možná.
249;Nestihol som si vybrať diplomovú prácu do daného termínu, je možné to spraviť dodatočne?;Keď som nestihol zaregistrovať diplomovú prácu, viem tak spraviť aj dodatočne?;Ak som si nestihol zahlásiť inžiniersku prácu, viem to urobiť dodatočne?;;;Treba napísať dekanovy alebo prodekanovy.
250;Je nejaké tlačivo pre odloženie bakalárskej práce?;Existuje tlačivo pre odloženie bakalárskej práce?;Akým spôsobom môžem odložiť bakalársku prácu?;;;Áno.
251;Je nejaké tlačivo pre odloženie diplomovej práce?;Existuje tlačivo pre odloženie diplomovej práce?;Akým spôsobom možem odložiť inžiniersku prácu?;;;Áno.
252;Zamietli mi žiadosť o odloženie bakalárskej práce, je možné sa odvolať?;Viem sa odvolať v prípade zamietnutia o odloženie bakalárskej práce?;Existuje možnosť odvolania, ak mi zamietli odloženie bakalárskej práce?;;;Táto akcia nie je odporúčaná.
253;Zamietli mi žiadosť o odloženie diplomovej práce, je možné sa odvolať?;Viem sa odvolať v prípade zamietnutia o odloženie diplomovej práce?;Existuje možnosť odvolania, ak mi zamietli odloženie inžinierskej práce?;;;Táto akcia nie je odporúčaná.
254;Ak mám výdavky pri bakalárskej práci, za akých podmienok je možnosť hradenia týchto nákladov univerzitou?;Mám výdavky pri bakalárskej práci, čo mám urobiť aby to hradila univerzita?;Je možnosť preplatenia výdavkov pri bakalárskej práci?;;;Treba napísať dekanovy alebo prodekanovy.
255;Ak mám výdavky pri diplomovej práci, za akých podmienok je možnosť hradenia týchto nakladov univerzitou?;Mám výdavky pri diplomovej práci, čo mám urobiť aby to hradila univerzita?;Je možnosť preplatenia výdavkov pri inžinierskej práci?;;;Treba napísať dekanovy alebo prodekanovy.
256;Ak mám výdavky pri dizertačnej práci, za akých podmienok je možnosť hradenia týchto nakladov univerzitou?;Mám výdavky pri dizertačnej práci, čo mám urobiť aby to hradila univerzita?;Je možnosť preplatenia výdavkov pri dizertačnej práci?;;;Treba napísať dekanovy alebo prodekanovy.
257;Je imatrikulácia povinná?;Musím prísť na imatrikuláciu?;Ako veľmi potrebné je prísť na imatrikuláciu?;;;Nie.
258;Kedy je imatrikulácia prijatých študentov?;Aký je termín imatrikulácie študentov?;V ktorých dňoch bude prebiehať imatrikulácia študentov?;;;Odpoveď nájdete na linku = https://www.fri.uniza.sk/calendar?section=E&year=2021
259;Čo je to Cisco Networking Academy?;Viete mi poskytnúť viac informácii o CISCO Networking Academy?;Čo mi prinesie Cisco Networking Academy?;;;Zameranie na získanie CISCO certifikátov. Bližšie informácie nájdete na stránke https://netacad.uniza.sk/71-novinky/fri.
260;Je možné na FRI získať CCNA Routing and Switching certifikát?;Dá sa na FRI získať CCNA Routing and Switching?;Poskytuje FRI možnosť získať CCNA Routing and Switching certifikát?;;;Áno.
261;Je možné na FRI získať CCNP certifikát?;Dá sa na FRI získať CCNP?;Poskytuje FRI možnosť získať CCNP certifikát?;;;Áno.
262;Je možné na FRI získať CCNA Security certifikát?;Dá sa na FRI získať CCNA Security?;Poskytuje FRI možnosť získať CCNA Security certifikát?;;;Áno.
263;Kde nájdem prihlasovacie údaje do systému vzdelávania?;Kde sú moje údaje od vzdelávania, viem sa k nim nejako dostať?;Aké sú moje údaje do vzdelávania?;;;Tvoje osobné číslo a heslo. 
264;Kde nájdem prihlasovacie údaje na WiFi sieť?;Kde sú prihlasovacie údaje do WiFi siete vrámci univerzity?;Aké sú moje údaje do WiFi siete?;;;Tvoje osobné číslo a heslo. 
265;Je možné pripojiť si vlastný notebook?;Viem si pripojiť vlastný notebook v priestoroch FRI?;Dokážem si na FRI pripojiť svoj notebook?;;;Áno.
266;Kde je možné dobiť si e-many?;Na akej stránke viem dobiť e-many?;Ako viem dobiť e-many peňaženku?;;;https://emany.uniza.sk
267;Je možné použíť kódy zdieľané od iných študentov?;Viem použiť zdrojové kódy, ktoré napísal iný študent?;Ak som sa dostal ku zdrojovým kódom iných študentov, môžem ich použiť?;;;Záleži od vyučujúceho predmetu.
268;Je možné použiť kódy voľne dostupné na internete?;Viem použiť zdrojové kódy, ktoré sú dostupné na internete?;Ak som našiel na internete vyhovujúce zdrojové kódy, môžem ich použiť?;;;Záleži od vyučujúceho predmetu.
269;Aké študentské organizácie je možné nájsť na UNIZA?;Aké študentské organizácie UNIZA zastrešuje?;Sú na univerzite študentské organizácie?;;;Môžete nájsť na stránke https://www.uniza.sk/index.php/studenti/studentsky-zivot/studentske-organizacie.
270;Aké študentské organizácie je možné nájsť na FRI?;Aké študentské organizácie zastrešuje FRI?;Sú na FRI študentské organizácie?;;;Môžete nájsť na stránke https://www.uniza.sk/index.php/studenti/studentsky-zivot/studentske-organizacie.
271;Má FRI študentský senát?;Je na FRI študentský senát?;Existuje študentský senát vrámci FRI?;;;Áno.
272;Aký sú členovia študentského senátu FRI? ;Kde nájdem zoznam členov študentského senátu FRI?;Sú niekde zverejnení členovia senátu?;;;Každý rok sa to mení.
273;Ako sa prihlásim do školských PC?;Akými prihlasovacími údajmi sa viem prihlásiť do školských PC?;Ktorými údajmi sa mám prihlásiť do školských PC?;;;S menom a heslom.
274;Je k dispozícii bezplatná WIFI v priestoroch FRI? ;Je na FRI študentská WiFi?;Má FRI študentskú WiFi?;;;Áno.
275;Kde nájdem prihlasovacie údaje do vzdelávania?;Aké mám prihlasovacie údaje do vzdelávania?;Ktoré prihlasovacie údaje slúžia do vzdelávania?;;;Osobné čislo a heslo.
276;Je niekde nejaký všeobecný sprievodca pre FRI, ktorý by bol aktualizovaný?;Existuje sprievodca po FRI?;Je nejaký FRI sprievodca?;;;Officiálna webová stránka FRI. https://www.fri.uniza.sk
277;Kde na fakulte si môžem vytlačiť nejaké papiere?;Viem na fakulte vytlačiť papiere?;Má fakulta nejakú tlačiareň pre študentov?;;;Hneď ako vojdeš hlavným vchdom, pôjdeš rovno alebo môžeš ísť na študíjne.
278;Ako prebieha výučba na Sieťarskych predmetoch?;Viete mi popísať spôsob výučby sieťarskych predmetov?;Akým spôsobom sa vyučuje sieťarina?;;;Tak ako na všetkých iných.
279;Ako môžem vystaviť elektronickú prihlášku?;Kde môžem podať elektronickú prihlášku?;Existuje vrámci fri elektronická prihláška?;;;Prihlásiš sa na svoju elektronickú prihlášku a vyplníš čo potrebuješ.
280;Prečo máme dekanské voľno v sobotu?;Kedy bude dekanské voľno aj mimo vikendu?;Dopočul som sa, že na FPedas majú dekanské voľno aj cez týždeň.;;;Lebo ste unlucky.
281;Po úspešnom absolvovaní skúšky stále nemám zapísanú známku na vzdelávaní, čo mám robiť?;Úspešne som spravil skúšku a na vzdelávaní nieje zapísaná, ako ďalej postupovať?;Čo mám robiť ak nemám známku na vzdelávani po absolvovaní skúšky?;;;Môžeš skúsiť napísať profesorovy.
282;Mám nesprávnu známku na vzdelávaní, koho mám kontaktovať?;Zapísali mi zlú známku do vzdelávania, čo s tým ďalej?;Vo vzdelávaní mám inú známku ako som dostal, čo s tým mám robiť?;;;Daného profesora.
283;Chcem prestúpiť z odoboru informatika na manažment, budem musieť znovu začať štúdium? ;Ak chcem prestúpiť z informatiky na manažment, musím začať od začiatku?;Musím začínať od znova ak prestúpim z informatiky na manažment?;;;Záleži na aký obor chceš prejsť ak ostaneš na fakulte tak nemusíš.
284;Kedy sú voľby do študentskej rady?;V akých dátumoch prebiehajú voľby do študentskej rady?;Kedy budú voľby do študentskej rady?;;;Väčšinou sú tieto dátumy aktualizované na stránke https://www.fri.uniza.sk.
285;Je možnosť preskúšania aj niekym iným ako jediným skúšajúcim?;Ak má skúšku iba jeden učiteľ, viem nejako požiadať o preskúšanie iným učiteľom?;Viem požiadať o preskúšanie iným učiteľom?;;;Ohľadom skúšky z predmetu musíš ísť za vedúcim predmetu.
286;Ako môžem kandidovať do študenstkej rady?;Čo musím splniť pre kandidovanie do študentskej rady?;Kde môžem kandidovať do študentskej rady?;;;Podáš si prihlášku a prejdeš prijmacím konaním.
287;Ako sa viem dostať do FRI klubu?;Chcem vstúpiť do FRI klubu, čo mám robiť?;Kde sa môžem zapísať do FRI klubu?;;;Podáš si prihlášku a prejdeš prijmacím konaním.
288;Môžem s vyučujúcim nadviazať citový vzťah?;Môžem chodiť s profesorom?;Je povolené byť vo vzťahu s učiteľom?;Sú povolené vzťahy medzi študentom a vyučujúcim?;Čo so vzťahom s vyučujúcim?;Len potajomky.
